CENTRAL,NODO,NUMCRUCE,DIRECCION,TIPO
8,22,1,CARRETERA DE SU EMINENCIA - AVENIDA DE LA PAZ - ESCULTOR SEBASTIAN SANTOS,MFU
7,4,2,AVENIDA DE LA PALMERA - TORCUATO LUCA DE TENA,MF5
7,12,3,AVENIDA MANUEL SIUROT- CARDENAL ILUNDAIN,MF5
4,18,4,GLORIETA DE LA REPUBLICA DOMINICANA,DYNAMIC
6,16,5,GLORIETA CARLOS CANO - AVENIDA BLAS INFANTE - RUBEN DARIO - AVENIDA DE ALFREDO KRAUS,RTAC
9,3,6,AVENIDA RAMON Y CAJAL- VILLEGAS Y MARMOLEJO - VIRGEN DEL SOL,MTR/3
9,17,7,ESPINOSA Y CARCEL- DIVINO REDENTOR - SANTA MARIA MAZZARELLO,MTR/3
6,3,8,VIRGEN DE LUJAN -JUAN RAMON JIMENEZ ,DYNAMIC
6,4,9,VIRGEN DE LUJAN - PEDRO PEREZ FERNANDEZ - VIRGEN DEL AGUILA,DYNAMIC
10,2,10,AVENIDA EDUARDO DATO - MARQUES DE NERVION,DYNAMIC
13,7,11,AVENIDA DELOS GAVILANES - PUERTO DEL ESCUDO - LEANDRAS,MFU
7,5,12,AVENIDA DE LA PALMERA - CARDENAL ILUNDAIN - PAEZ DE RIVERA,MF5
4,16,13,REPUBLICA ARGENTINA - ESPERANZA DE TRIANA - MI—O,DYNAMIC
4,14,14,REPUBLICA ARGENTINA-VIRGEN DE SETEFILLA - VIRGEN DE LAS HUERTAS,MTR/2
6,14, 15,GLORIETA DE LAS CIGARRERAS,DYNAMIC
6,1,16,VIRGEN DE LUJAN -JUAN SEBASTIAN ELCANO - MONTE CARMELO,DYNAMIC
6,2,17,VIRGEN DE LUJAN - ASUNCION - VIRGEN DEL VALLE,DYNAMIC
8,2,18,NTRA. SRA. DE LAS MERCEDES - ALMIRANTE TOPETE- CARDENAL BUENO MONREAL,SENTINEL
7,9,19,AVENIDA DE LA BORBOLLA - AVENIDA DE LA GUARDIA CIVIL - AVENIDA MANUEL SIUROT,MF5
2,11,20,AVENIDA DE LA BORBOLLA - AVENIDA DE PORTUGAL - DOCTOR PEDRO DE CASTRO,SENTINEL
54,4,21,CARLOS V-PRADO SAN SEBASTIAN,MG
10,16,22,AVENIDA EDUARDO DATO - AVENIDA LUIS DE MORALES - AVENIDA SAN FRANCISCO JAVIER,MF
3,6,23,ARJONA- CRISTO DE LA EXPIRACION - PLAZA DE LA LEGION,MF
2,2,24,RESOLANA - FERIA,DYNAMIC
2,27,25,PARLAMENTO DE ANDALUCIA - SAN JUAN DE RIBERA - MU—OZ LEON,SENTINEL
13,9,26,INGENIERO JUAN DEVLA CIERVA - AVENIDA DE LOS GAVILANES - ARZOBISPO DON MU—O - PRUNA,MFU
13,10,27,INGENIERO JUAN DE LA CIERVA - PEDRO DE VALDIVIA,MFU
13,11,28,INGENIERO JUAN DE LA CIERVA - SIMON BOLIVA\R - AZORIN,MFU
13,12,29,INGENIERO JUAN DE LA CIERVA - GUSTAVO DORE - FRAY LUIS DE LEON,MFU
13,13,30,INGENIERO JUAN DE LA CIERVA - LA ALGABA - AVENIDA DE LA CALESERA - AVENIDA DE LA PLATA,MFU
10,15,31,AVENIDA LUIS MONTOTO - AVENIDA DE LA CRUZ DEL CAMPO - AVENIDA EL GRECO, SENTINEL
10,18,32,AVENIDA LUIS MONTOTO - MANUEL RAMON ALARCON - MARQUES DE NERVION - BALTASAR GRACIAN,SENTINEL
